reading_id,manuscript_file,anchor,object,printed_value,unit,scope,source_kind,source_file,derivation,status
ADEQ_GB_S_RATIO_GNN,5_results.tex,RQ3,prose,25.3,ratio,GB eta0.9,frozen_result,results/uk_adequacy.csv,median selection bound over positive actual for GNN,verified
ADEQ_GB_ZERO_BOUND,5_results.tex,RQ3,prose,3.5,percent,GB eta0.9,frozen_result,results/uk_adequacy.csv,pooled zero selection-bound share,verified
ADEQ_AU_ZERO_BOUND,5_results.tex,RQ3,prose,35.3,percent,AU eta0.9,frozen_result,results/au_adequacy.csv,pooled zero selection-bound share,verified
ADEQ_AU_ZERO_REGRET,5_results.tex,RQ3,prose,75.0,percent,AU eta0.9,frozen_result,results/au_adequacy.csv,pooled zero realised-regret share,verified
ADEQ_GB_ZERO_REGRET,5_results.tex,RQ3,prose,19.9,percent,GB eta0.9,frozen_result,results/uk_adequacy.csv,pooled zero realised-regret share,verified
MODEL_ALPHA_MIN,C_implementation.tex,LU-sharp,appendix,1.23,alpha,GB 16 regions,frozen_summary,model_contract.json,original per-region artifact unavailable,frozen_summary_only
MODEL_ALPHA_MAX,C_implementation.tex,LU-sharp,appendix,10.07,alpha,GB 16 regions,frozen_summary,model_contract.json,original per-region artifact unavailable,frozen_summary_only
MODEL_ALPHA_MEDIAN,C_implementation.tex,LU-sharp,appendix,2.54,alpha,GB 16 regions,frozen_summary,model_contract.json,original per-region artifact unavailable,frozen_summary_only
GB_MEDIAN_SURPLUS,4_experiment.tex,British case,case fact,5.76,MVA,full GB register,case_fact,case_facts/register_summary.json,median firm capacity minus measured demand,verified
GB_R10_300_COUNT,4_experiment.tex,British case,case fact,691,count,full GB register,case_fact,case_facts/register_summary.json,stations whose 10km neighbourhood surplus reaches 300 MVA,verified
GB_R5_300_COUNT,4_experiment.tex,British case,case fact,196,count,full GB register,case_fact,case_facts/register_summary.json,stations whose 5km neighbourhood surplus reaches 300 MVA,verified
GB_R20_300_COUNT,4_experiment.tex,British case,case fact,1844,count,full GB register,case_fact,case_facts/register_summary.json,stations whose 20km neighbourhood surplus reaches 300 MVA,verified
AU_SUPPORT_OUTLIER,4_experiment.tex,Australian support check,case fact,172,percent,one ineligible region,case_fact,case_facts/register_summary.json,reference-support residual,verified
AU_ZERO_AVAILABLE,F_australia.tex,Australian register,case fact,72,count,174 stations,case_fact,case_facts/register_summary.json,stations reporting zero available capacity,verified
AU_EXCLUDED_SURPLUS,F_australia.tex,Australian register,case fact,3943,MVA,42 excluded stations,case_fact,case_facts/register_summary.json,sum available capacity of stations without load record,verified
GB_ENDPOINT_GNN_PI,5_results.tex,RQ2 endpoints,prose,62.6,percent,GB R10 X300,frozen_result,results/gb_cost_oof.csv,endpoint-normalised GNN improvement,verified
GB_ENDPOINT_UNI,5_results.tex,RQ2 endpoints,prose,15.076,GBP million,GB R10 X300,frozen_result,results/gb_cost_oof.csv,uniform mean fixed-site error,verified
BONFERRONI_MANTISSA,C_implementation.tex,multiplicity,appendix,3.66,mantissa,GB four-module family,derived_arithmetic,manuscript_readings.csv,9.16e-5 multiplied by four,verified
MIN_P_MANTISSA,C_implementation.tex,multiplicity,appendix,3.05,mantissa,GB 16 regions,derived_arithmetic,manuscript_readings.csv,2 divided by 2^16,verified
MIN_P_DECIMAL,C_implementation.tex,multiplicity,appendix,0.0000305,p-value,GB 16 regions,derived_arithmetic,manuscript_readings.csv,printed form of 3.05e-5,verified
RECON_P_MANTISSA,C_implementation.tex,multiplicity,appendix,9.16,mantissa,GB reconstruction,derived_result,results/gb_full_matrix_long.csv,printed scientific-notation mantissa,verified
RECON_P_DECIMAL,C_implementation.tex,multiplicity,appendix,0.0000916,p-value,GB reconstruction,derived_result,results/gb_full_matrix_long.csv,printed form of 9.16e-5,verified
RQ1_FIXED_P20_MANTISSA,5_results.tex,RQ1 controls,prose,1.22,mantissa,GB R20,frozen_result,results/gb_controls.csv,printed scientific-notation mantissa,verified
